"#":"Name":"Manufacturer":"Quantity"
"1":"1986717-2":"TE Connectivity":"2"
"2":"LED":"":"2"
"3":"PPTC161LFBN-RC":"Sullins":"1"
"4":"PPTC081LFBN-RC":"Sullins":"1"
"5":"PPTC031LFBN-RC":"Sullins":"1"
"6":"RES":"":"5"
"7":"3362P-1-253LF":"Bourns":"1"
"8":"CAP":"":"9"
"9":"PS1240P02BT":"":"1"
"10":"B3F-1000":"OMRON":"1"
"11":"7805":"Atmel":"1"
"12":"ECS-120-32-1":"":"1"
"13":"ATMEGA328_PDIP28":"Atmel":"1"
